innings_num,batting_team,over_number,ball_number,runs_scored,boundaries,dot_balls,wickets,extras,favored_team,win_percentage,current_run_rate,required_run_rate,striker_batsman,toss_winner,toss_decision,batsman1_name,batsman1_runs,batsman1_balls_faced,batsman1_fours,batsman1_sixes,batsman2_name,batsman2_runs,batsman2_balls_faced,batsman2_fours,batsman2_sixes,bowler1_name,bowler1_overs_bowled,bowler1_maidens_bowled,bowler1_runs_conceded,bowler1_wickets_taken,bowler2_name,bowler2_overs_bowled,bowler2_maidens_bowled,bowler2_runs_conceded,bowler2_wickets_taken,venue,matches_played,average_runs_per_wicket,average_runs_per_over,batsman1_historical_average,batsman1_historical_strike_rate,batsman2_historical_average,batsman2_historical_strike_rate,bowler1_historical_average,bowler1_historical_economy,bowler1_historical_strike_rate,bowler2_historical_average,bowler2_historical_economy,bowler2_historical_strike_rate,runs_scored_over_rolling_avg,wickets_over_rolling_avg,powerplay,middle_overs,death_overs,projected_score,pressure_index,model_win_probability
2,PBKS,5,6,0,0,1,0,0,MI,96.34,6.66,10.93,Harpreet,PBKS,field first,Shashank Singh,12,10,2,0,Harpreet Singh,12,13,2,0,Hardik Pandya,1.0,0,1,0,Akash Madhwal,1.0,0,11,0,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,20.62,7.62,35.25,161.45,17.57,103.36,33.59,9.09,22.1,33.59,9.09,22.1,8.33,1.0,1,0,0,133,5.5,0.16
2,PBKS,4,6,0,0,1,0,0,SRH,88.74,4.0,10.87,Raza,PBKS,field first,Sam Curran,1,3,0,0,Sikandar Raza,0,2,0,0,Bhuvneshwar Kumar,3.0,1,15,2,Pat Cummins,2.0,0,4,1,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,20.62,7.62,24.63,135.21,26.00,133.82,27.23,7.56,21.6,27.23,7.56,21.6,4.33,1.0,1,0,0,80,5.4,0.07
2,PBKS,4,6,0,0,1,0,0,SRH,88.74,4.0,10.87,Raza,PBKS,field first,Sam Curran,1,3,0,0,Sikandar Raza,0,2,0,0,Bhuvneshwar Kumar,3.0,1,15,2,Pat Cummins,2.0,0,4,1,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,20.62,7.62,24.63,135.21,26.00,133.82,27.23,7.56,21.6,27.23,7.56,21.6,4.33,1.0,1,0,0,80,5.4,0.07
2,PBKS,4,6,0,0,1,0,0,SRH,88.74,4.0,10.87,Raza,PBKS,field first,Sam Curran,1,3,0,0,Sikandar Raza,0,2,0,0,Bhuvneshwar Kumar,3.0,1,15,2,Pat Cummins,2.0,0,4,1,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,20.62,7.62,24.63,135.21,26.00,133.82,27.23,7.56,21.6,27.23,7.56,21.6,4.33,1.0,1,0,0,80,5.4,0.07
2,PBKS,5,6,0,0,1,0,0,MI,96.34,6.66,10.93,Harpreet,PBKS,field first,Shashank Singh,12,10,2,0,Harpreet Singh,12,13,2,0,Hardik Pandya,1.0,0,1,0,Akash Madhwal,1.0,0,11,0,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,20.62,7.62,35.25,161.45,17.57,103.36,33.59,9.09,22.1,33.59,9.09,22.1,8.33,1.0,1,0,0,133,5.5,0.16
2,PBKS,5,6,0,0,1,0,0,MI,96.34,6.66,10.93,Harpreet,PBKS,field first,Shashank Singh,12,10,2,0,Harpreet Singh,12,13,2,0,Hardik Pandya,1.0,0,1,0,Akash Madhwal,1.0,0,11,0,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,20.62,7.62,35.25,161.45,17.57,103.36,33.59,9.09,22.1,33.59,9.09,22.1,8.33,1.0,1,0,0,133,5.5,0.16
2,PBKS,5,6,0,0,1,0,0,MI,96.34,6.66,10.93,Harpreet,PBKS,field first,Shashank Singh,12,10,2,0,Harpreet Singh,12,13,2,0,Hardik Pandya,1.0,0,1,0,Akash Madhwal,1.0,0,11,0,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,20.62,7.62,35.25,161.45,17.57,103.36,33.59,9.09,22.1,33.59,9.09,22.1,8.33,1.0,1,0,0,133,5.5,0.16
2,PBKS,5,6,0,0,1,0,0,MI,96.34,6.66,10.93,Harpreet,PBKS,field first,Shashank Singh,12,10,2,0,Harpreet Singh,12,13,2,0,Hardik Pandya,1.0,0,1,0,Akash Madhwal,1.0,0,11,0,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,20.62,7.62,35.25,161.45,17.57,103.36,33.59,9.09,22.1,33.59,9.09,22.1,8.33,1.0,1,0,0,133,5.5,0.16
1,MI,15,6,0,0,1,0,0,RR,76.95,6.93,0,David,RR,field first,Gerald Coetzee,4,6,0,0,Tim David,16,17,1,0,Trent Boult,4.0,0,22,3,Ravichandran Ashwin,4.0,0,27,0,"Wankhede Stadium, Mumbai",203,26.49,8.30,3.50,63.63,28.65,170.28,26.91,8.29,19.4,26.91,8.29,19.4,4.33,1.0,0,1,0,139,0,0.5
1,MI,15,6,0,0,1,0,0,RR,76.95,6.93,0,David,RR,field first,Gerald Coetzee,4,6,0,0,Tim David,16,17,1,0,Trent Boult,4.0,0,22,3,Ravichandran Ashwin,4.0,0,27,0,"Wankhede Stadium, Mumbai",203,26.49,8.30,3.50,63.63,28.65,170.28,26.91,8.29,19.4,26.91,8.29,19.4,4.33,1.0,0,1,0,139,0,0.5
1,MI,15,6,0,0,1,0,0,RR,76.95,6.93,0,David,RR,field first,Gerald Coetzee,4,6,0,0,Tim David,16,17,1,0,Trent Boult,4.0,0,22,3,Ravichandran Ashwin,4.0,0,27,0,"Wankhede Stadium, Mumbai",203,26.49,8.30,3.5,63.63,29.9,171.35,26.91,8.29,19.4,26.91,8.29,19.4,4.33,1.0,0,1,0,139,0,0.52
1,MI,15,6,0,0,1,0,0,RR,76.95,6.93,0,David,RR,field first,Gerald Coetzee,4,6,0,0,Tim David,16,17,1,0,Trent Boult,4.0,0,22,3,Ravichandran Ashwin,4.0,0,27,0,"Wankhede Stadium, Mumbai",203,26.49,8.30,3.5,63.63,29.9,171.35,26.91,8.29,19.4,26.91,8.29,19.4,4.33,1.0,0,1,0,139,0,0.52
2,PBKS,4,6,0,0,1,0,0,SRH,88.74,4.0,10.87,Raza,PBKS,field first,Sam Curran,1,3,0,0,Sikandar Raza,0,2,0,0,Bhuvneshwar Kumar,3.0,1,15,2,Pat Cummins,2.0,0,4,1,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,20.62,7.62,24.63,135.21,26.0,133.82,27.23,7.56,21.6,27.23,7.56,21.6,4.33,1.0,1,0,0,80,5.4,0.07
