id,url
chennai-super-kings-vs-royal-challengers-bengaluru-1st-match-1422119,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/chennai-super-kings-vs-royal-challengers-bengaluru-1st-match-1422119/full-scorecard
punjab-kings-vs-delhi-capitals-2nd-match-1422120,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/punjab-kings-vs-delhi-capitals-2nd-match-1422120/full-scorecard
kolkata-knight-riders-vs-sunrisers-hyderabad-3rd-match-1422121,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-3rd-match-1422121/full-scorecard
rajasthan-royals-vs-lucknow-super-giants-4th-match-1422122,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-lucknow-super-giants-4th-match-1422122/full-scorecard
gujarat-titans-vs-mumbai-indians-5th-match-1422123,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/gujarat-titans-vs-mumbai-indians-5th-match-1422123/full-scorecard
royal-challengers-bengaluru-vs-punjab-kings-6th-match-1422124,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-punjab-kings-6th-match-1422124/full-scorecard
chennai-super-kings-vs-gujarat-titans-7th-match-1422125,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/chennai-super-kings-vs-gujarat-titans-7th-match-1422125/full-scorecard
sunrisers-hyderabad-vs-mumbai-indians-8th-match-1422126,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-mumbai-indians-8th-match-1422126/full-scorecard
rajasthan-royals-vs-delhi-capitals-9th-match-1422127,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-delhi-capitals-9th-match-1422127/full-scorecard
royal-challengers-bengaluru-vs-kolkata-knight-riders-10th-match-1422128,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-kolkata-knight-riders-10th-match-1422128/full-scorecard
lucknow-super-giants-vs-punjab-kings-11th-match-1422129,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/lucknow-super-giants-vs-punjab-kings-11th-match-1422129/full-scorecard
gujarat-titans-vs-sunrisers-hyderabad-12th-match-1422130,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/gujarat-titans-vs-sunrisers-hyderabad-12th-match-1422130/full-scorecard
delhi-capitals-vs-chennai-super-kings-13th-match-1422131,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/delhi-capitals-vs-chennai-super-kings-13th-match-1422131/full-scorecard
mumbai-indians-vs-rajasthan-royals-14th-match-1422132,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-rajasthan-royals-14th-match-1422132/full-scorecard
royal-challengers-bengaluru-vs-lucknow-super-giants-15th-match-1422133,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-lucknow-super-giants-15th-match-1422133/full-scorecard
delhi-capitals-vs-kolkata-knight-riders-16th-match-1422134,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/delhi-capitals-vs-kolkata-knight-riders-16th-match-1422134/full-scorecard
gujarat-titans-vs-punjab-kings-17th-match-1422135,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/gujarat-titans-vs-punjab-kings-17th-match-1422135/full-scorecard
sunrisers-hyderabad-vs-chennai-super-kings-18th-match-1422136,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-chennai-super-kings-18th-match-1422136/full-scorecard
rajasthan-royals-vs-royal-challengers-bengaluru-19th-match-1422137,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-royal-challengers-bengaluru-19th-match-1422137/full-scorecard
mumbai-indians-vs-delhi-capitals-20th-match-1422138,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-delhi-capitals-20th-match-1422138/full-scorecard
lucknow-super-giants-vs-gujarat-titans-21st-match-1422139,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/lucknow-super-giants-vs-gujarat-titans-21st-match-1422139/full-scorecard
chennai-super-kings-vs-kolkata-knight-riders-22nd-match-1426260,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/chennai-super-kings-vs-kolkata-knight-riders-22nd-match-1426260/full-scorecard
punjab-kings-vs-sunrisers-hyderabad-23rd-match-1426261,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/punjab-kings-vs-sunrisers-hyderabad-23rd-match-1426261/full-scorecard
rajasthan-royals-vs-gujarat-titans-24th-match-1426262,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-gujarat-titans-24th-match-1426262/full-scorecard
mumbai-indians-vs-royal-challengers-bengaluru-25th-match-1426263,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-royal-challengers-bengaluru-25th-match-1426263/full-scorecard
lucknow-super-giants-vs-delhi-capitals-26th-match-1426264,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/lucknow-super-giants-vs-delhi-capitals-26th-match-1426264/full-scorecard
punjab-kings-vs-rajasthan-royals-27th-match-1426265,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/punjab-kings-vs-rajasthan-royals-27th-match-1426265/full-scorecard
kolkata-knight-riders-vs-lucknow-super-giants-28th-match-1426266,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-lucknow-super-giants-28th-match-1426266/full-scorecard
mumbai-indians-vs-chennai-super-kings-29th-match-1426267,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-chennai-super-kings-29th-match-1426267/full-scorecard
royal-challengers-bengaluru-vs-sunrisers-hyderabad-30th-match-1426268,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-sunrisers-hyderabad-30th-match-1426268/full-scorecard
kolkata-knight-riders-vs-rajasthan-royals-31st-match-1426269,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-rajasthan-royals-31st-match-1426269/full-scorecard
gujarat-titans-vs-delhi-capitals-32nd-match-1426270,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/gujarat-titans-vs-delhi-capitals-32nd-match-1426270/full-scorecard
punjab-kings-vs-mumbai-indians-33rd-match-1426271,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/punjab-kings-vs-mumbai-indians-33rd-match-1426271/full-scorecard
lucknow-super-giants-vs-chennai-super-kings-34th-match-1426272,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/lucknow-super-giants-vs-chennai-super-kings-34th-match-1426272/full-scorecard
delhi-capitals-vs-sunrisers-hyderabad-35th-match-1426273,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/delhi-capitals-vs-sunrisers-hyderabad-35th-match-1426273/full-scorecard
kolkata-knight-riders-vs-royal-challengers-bengaluru-36th-match-1426274,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-royal-challengers-bengaluru-36th-match-1426274/full-scorecard
punjab-kings-vs-gujarat-titans-37th-match-1426275,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/punjab-kings-vs-gujarat-titans-37th-match-1426275/full-scorecard
rajasthan-royals-vs-mumbai-indians-38th-match-1426276,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-mumbai-indians-38th-match-1426276/full-scorecard
chennai-super-kings-vs-lucknow-super-giants-39th-match-1426277,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/chennai-super-kings-vs-lucknow-super-giants-39th-match-1426277/full-scorecard
delhi-capitals-vs-gujarat-titans-40th-match-1426278,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/delhi-capitals-vs-gujarat-titans-40th-match-1426278/full-scorecard
sunrisers-hyderabad-vs-royal-challengers-bengaluru-41st-match-1426279,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-royal-challengers-bengaluru-41st-match-1426279/full-scorecard
kolkata-knight-riders-vs-punjab-kings-42nd-match-1426280,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-punjab-kings-42nd-match-1426280/full-scorecard
delhi-capitals-vs-mumbai-indians-43rd-match-1426281,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/delhi-capitals-vs-mumbai-indians-43rd-match-1426281/full-scorecard
lucknow-super-giants-vs-rajasthan-royals-44th-match-1426282,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/lucknow-super-giants-vs-rajasthan-royals-44th-match-1426282/full-scorecard
gujarat-titans-vs-royal-challengers-bengaluru-45th-match-1426283,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/gujarat-titans-vs-royal-challengers-bengaluru-45th-match-1426283/full-scorecard
chennai-super-kings-vs-sunrisers-hyderabad-46th-match-1426284,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/chennai-super-kings-vs-sunrisers-hyderabad-46th-match-1426284/full-scorecard
kolkata-knight-riders-vs-delhi-capitals-47th-match-1426285,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-delhi-capitals-47th-match-1426285/full-scorecard
lucknow-super-giants-vs-mumbai-indians-48th-match-1426286,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/lucknow-super-giants-vs-mumbai-indians-48th-match-1426286/full-scorecard
chennai-super-kings-vs-punjab-kings-49th-match-1426287,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/chennai-super-kings-vs-punjab-kings-49th-match-1426287/full-scorecard
sunrisers-hyderabad-vs-rajasthan-royals-50th-match-1426288,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-rajasthan-royals-50th-match-1426288/full-scorecard
mumbai-indians-vs-kolkata-knight-riders-51st-match-1426289,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-kolkata-knight-riders-51st-match-1426289/full-scorecard
royal-challengers-bengaluru-vs-gujarat-titans-52nd-match-1426290,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-gujarat-titans-52nd-match-1426290/full-scorecard
punjab-kings-vs-chennai-super-kings-53rd-match-1426291,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/punjab-kings-vs-chennai-super-kings-53rd-match-1426291/full-scorecard
lucknow-super-giants-vs-kolkata-knight-riders-54th-match-1426292,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/lucknow-super-giants-vs-kolkata-knight-riders-54th-match-1426292/full-scorecard
mumbai-indians-vs-sunrisers-hyderabad-55th-match-1426293,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-sunrisers-hyderabad-55th-match-1426293/full-scorecard
delhi-capitals-vs-rajasthan-royals-56th-match-1426294,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/delhi-capitals-vs-rajasthan-royals-56th-match-1426294/full-scorecard
sunrisers-hyderabad-vs-lucknow-super-giants-57th-match-1426295,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-lucknow-super-giants-57th-match-1426295/full-scorecard
punjab-kings-vs-royal-challengers-bengaluru-58th-match-1426296,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/punjab-kings-vs-royal-challengers-bengaluru-58th-match-1426296/full-scorecard
gujarat-titans-vs-chennai-super-kings-59th-match-1426297,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/gujarat-titans-vs-chennai-super-kings-59th-match-1426297/full-scorecard
kolkata-knight-riders-vs-mumbai-indians-60th-match-1426298,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-mumbai-indians-60th-match-1426298/full-scorecard
chennai-super-kings-vs-rajasthan-royals-61st-match-1426299,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/chennai-super-kings-vs-rajasthan-royals-61st-match-1426299/full-scorecard
royal-challengers-bengaluru-vs-delhi-capitals-62nd-match-1426300,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-delhi-capitals-62nd-match-1426300/full-scorecard
gujarat-titans-vs-kolkata-knight-riders-63rd-match-1426301,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/gujarat-titans-vs-kolkata-knight-riders-63rd-match-1426301/full-scorecard
delhi-capitals-vs-lucknow-super-giants-64th-match-1426302,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/delhi-capitals-vs-lucknow-super-giants-64th-match-1426302/full-scorecard
rajasthan-royals-vs-punjab-kings-65th-match-1426303,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-punjab-kings-65th-match-1426303/full-scorecard
sunrisers-hyderabad-vs-gujarat-titans-66th-match-1426304,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-gujarat-titans-66th-match-1426304/full-scorecard
mumbai-indians-vs-lucknow-super-giants-67th-match-1426305,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-lucknow-super-giants-67th-match-1426305/full-scorecard
royal-challengers-bengaluru-vs-chennai-super-kings-68th-match-1426306,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-chennai-super-kings-68th-match-1426306/full-scorecard
sunrisers-hyderabad-vs-punjab-kings-69th-match-1426307,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-punjab-kings-69th-match-1426307/full-scorecard
rajasthan-royals-vs-kolkata-knight-riders-70th-match-1426308,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-kolkata-knight-riders-70th-match-1426308/full-scorecard
kolkata-knight-riders-vs-sunrisers-hyderabad-qualifier-1-1426309,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-qualifier-1-1426309/full-scorecard
rajasthan-royals-vs-royal-challengers-bengaluru-eliminator-1426310,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-royal-challengers-bengaluru-eliminator-1426310/full-scorecard
rajasthan-royals-vs-sunrisers-hyderabad-qualifier-2-1426311,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-sunrisers-hyderabad-qualifier-2-1426311/full-scorecard
kolkata-knight-riders-vs-sunrisers-hyderabad-final-1426312,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-sunrisers-hyderabad-final-1426312/full-scorecard
